"Клиент Имя Фамилия (e-17318627), период 01.05.2023 - 17.06.2023"
"Всего по поисковым запросам";;"Ср.расход за день (руб.)";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Ср. позиция показов";"Отказы (%)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
"с 01.05.2023 по 17.06.2023";;1578,24;3560;369;10,37;56816,76;153,97;2,88;26,32;1,63;9469,46;6
"Другие поисковые запросы";;-;2;0;0,00;0,00;-;3,00;-;-;-;-

"Поисковый запрос";"Кампания";"№ Кампании";"Группа";"№ Группы";"Условие показа";"Тип условия показа";"Тип соответствия";"Подобранная фраза";"Категория таргетинга";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Ср. позиция показов";"Отказы (%)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
"модуль расширения lenovo p n 7xh7a06254 sr550 sr650 2.5 sata sas 8 bay kit";"Сервера | Lenovo | Краснодар, Ростов-на-Дону";87673348;"Lenovo ThinkSystem SR550 - 4042967885481130338";5192987657;"Lenovo SR550 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"модуль расширения lenovo p n 7xh7a06254 sr550 sr650 2.5 sata sas 8 bay kit";"Сервера | Lenovo | Краснодар, Ростов-на-Дону";87673348;"Lenovo SR650";5192987682;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;5,00;-;-;-;-
"модуль расширения lenovo thinksystem sr650";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"можно ли ставить диски seagate в lenovo thinksystem sr630";"Сервера Lenovo Северо-Запад";87670802;"Lenovo SR630";5192956576;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"не определена";1;0;0,00;0,00;-;1,00;-;-;-;-
"моноблок lenovo v50a 24imb 23.8 intel core i5 10400t 8gb 256гб ssd intel uhd graphics 630 dvd rw win10 pr";"Сервера Lenovo Красноярск, Новосибирск, Омск";87795203;"Lenovo SR630";5194661671;"lenovo 630 -yoga";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;5,00;-;-;-;-
"монтаж сервер видеонаблюдения ltv sr250 103 48 r6 irv ltv";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem SR250 - 8851782002052089839";5192968570;"Сервер SR250 -Lenovo -ThinkSystem -V2 -Леново";"фраза";"пословное";-;"не определена";1;0;0,00;0,00;-;1,00;-;-;-;-
"на чем собрать мощный сервер для расчетов";"Сервера Lenovo ЦФО";87636764;"Lenovo SR650";5192441845;'---autotargeting;"автотаргетинг";-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"набор для монтажа thinksystem sr550 sr650 2.5";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR550 - 4042967885481130338";5192334992;"ThinkSystem SR550 -Lenovo -Server -Сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"набор для монтажа thinksystem sr550 sr650 2.5";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"thinksystem sr650 -lenovo -server -V2 -V3 -сервер -цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"набор для монтажа thinksystem sr550 sr650 2.5 sata sas 8 bay backplane kit";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"thinksystem sr650 -lenovo -server -V2 -V3 -сервер -цена";"фраза";"пословное";-;"Альтернативные запросы";2;0;0,00;0,00;-;1,00;-;-;-;-
"накопитель hdd 00yk032 4тб 3 5 sas 7200 об мин 12гбит с на lenovo thinksystem sr550";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem SR550 - 4042967885481130338";5192441820;"Lenovo ThinkSystem SR550 -Rack -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"накопитель hdd 00yk032 lenovo thinksystem sr550";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem SR550 - 4042967885481130338";5192441820;"Lenovo ThinkSystem SR550 -Rack -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"накопитель hdd 00yk032 к lenovo sr550";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem SR550 - 4042967885481130338";5192441820;"Lenovo SR550 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"накопитель hdd 00yk032 к lenovo thinksystem sr550";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem SR550 - 4042967885481130338";5192441820;"Lenovo ThinkSystem SR550 -Rack -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"накопитель hdd на lenovo thinksystem sr550";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem SR550 - 4042967885481130338";5192441820;"Lenovo ThinkSystem SR550 -Rack -Купить -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"накопитель на жестком магнитном диске lenovo thinksystem 2.5 quot 5300 960gb entry sata 6gb hot swap ssd купить";"Lenovo Горячие Москва";87571988;"Горячие";5191675769;"Lenovo ThinkSystem купить -SD650 -SN850 -SR250 -SR530 -SR550 -SR570 -SR590 -SR635 -SR655 -SR670 -SR850 -SR850P -SR860 -SR950 -ST250 -ST50 -ST550";"фраза";"пословное";-;"Альтернативные запросы";2;0;0,00;0,00;-;-;-;-;-;-
"накопитель на жестком магнитном диске lenovo thinksystem 2.5 quot 900gb 10k sas 12gb hot swap 512n hdd купить";"Lenovo Горячие Москва";87571988;"Горячие";5191675769;"Lenovo ThinkSystem купить -SD650 -SN850 -SR250 -SR530 -SR550 -SR570 -SR590 -SR635 -SR655 -SR670 -SR850 -SR850P -SR860 -SR950 -ST250 -ST50 -ST550";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;-;-;-;-;-
"направляющие для сервера lenovo thinkserver rd450";"Lenovo Холодные Москва";88058478;"Холодные";5198942142;"Сервер Lenovo -think -SD530 -SN550 -SR665 -sr650 -SR645 -SR250 -SD650 -ST550 -SR570 -SR860 -SR950 -SR850P -SR530 -SR655 -SN850 -SR550 -ST250 -SR670 -SR635 -ST50 -SR590 -SR630 -SR850";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;3,00;-;-;-;-
"недорогой сервер для офиса";"Товарная галерея | Сервера | Москва";89500672;"Новая группа";5222602353;"Сервера";"условие нацеливания ДО";-;-;"Целевые запросы";1;0;0,00;0,00;-;10,00;-;-;-;-
"нью бокс open lenovo sr630 sr650 1u раздвижной";"Сервера Lenovo Юг";87673229;"Lenovo SR650";5192986671;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"оборудование lenovo 1 xeon gold 5115 юс 2.4ghz 13.75мв cache 85w 16gb 1x16gb 2rx8 rdimm o b 930 8д lx750w xcc standard tooless rails 7x06a03aea 1 шт 2 thinksystem sr650 intel xeon gold 5115 10c 85w 2.4ghz processor option kit";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"оборудование для бизнеса";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR590 - 1637914624274577352";5192334981;'---autotargeting;"автотаргетинг";-;-;"Широкие запросы";1;0;0,00;0,00;-;5,00;-;-;-;-
"односокетный сервер lenovo thinksystem sr250";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR250 - 8851782002052089839";5192335014;"Сервер Lenovo SR250 -V2 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;3,00;-;-;-;-
"односокетный сервер lenovo thinksystem sr635";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR635 - 2785872760011704628";5192334987;"Сервер Lenovo SR635 -V3 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;3,00;-;-;-;-
"онлайн магазин электроники";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR590 - 1637914624274577352";5192334981;'---autotargeting;"автотаргетинг";-;-;"Широкие запросы";1;0;0,00;0,00;-;5,00;-;-;-;-
"онлайн магазины электроники в уфе";"Сервера Lenovo Поволжье";87672026;"Lenovo SR630";5192968576;'---autotargeting;"автотаргетинг";-;-;"Широкие запросы";1;0;0,00;0,00;-;-;-;-;-;-
"оперативная память 16gb truddr4 2666 mhz 2rx8 1.2v rdimm для сервера леново купить";"Lenovo горячие Северо-Запад";87574928;"Горячие";5191696767;"Купить сервера Леново";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"оперативная память 32 гигабайт для lenovo thinksystem sr530";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192334999;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"оперативная память adata ax4u3600 sw50 1x32 гб ax4u360032g18i st50 купить";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem ST50 - 2070541473539004687";5192334982;"Купить ST50 -Lenovo -V2";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"оперативная память thinksystem 128gb truddr5 4800mhz 8rx4 3ds rdimm купить";"Lenovo Горячие Москва";87571988;"Горячие";5191675769;"ThinkSystem купить -Lenovo";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;5,00;-;-;-;-
"оперативная память thinksystem 256gb truddr5 4800mhz 8rx4 3ds rdimm купить";"Lenovo Горячие Москва";87571988;"Горячие";5191675769;"ThinkSystem купить -Lenovo";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;5,00;-;-;-;-
"оперативная память сервер lenovo thinksystem sr650";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"сервер lenovo thinksystem sr650 -7x06a0nm -V2 -V3 -цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"оргтехника арзамас";"Сервера Lenovo Поволжье";87672026;"Lenovo SR630";5192968576;'---autotargeting;"автотаргетинг";-;-;"Широкие запросы";1;0;0,00;0,00;-;5,00;-;-;-;-
"память в сервер lenovo st50";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem ST50 - 2070541473539004687";5192334982;"Сервер Lenovo ST50 -V2 -Купить -Цена";"фраза";"пословное";-;"Широкие запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"панасоник тх 50 st50 купить";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem ST50 - 2070541473539004687";5192968538;"Купить ST50 -Lenovo -V2";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"перезагрузка xcc lenovo sr650";"Сервера Lenovo ДВосток";87795990;"Lenovo SR650";5194670935;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"не определена";1;0;0,00;0,00;-;1,00;-;-;-;-
"пк lenovo v50t gen 2 13iob mt i3 10105 8gb ssd256gb uhdg 630 dvdrw noos kbnorus m черный";"Сервера | Lenovo | Краснодар, Ростов-на-Дону";87673348;"Lenovo SR630";5192987685;"lenovo 630 -yoga";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"пк lenovo v50t gen 2 13iob mt i5 10400 2.9 8gb ssd256gb uhdg 630 dvdrw cr noos gbiteth wifi bt 180w kbnorus мышь черный 11qe0047iv lenov";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo 630 -yoga";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;5,00;-;-;-;-
"плата thinksystem st50 planar smd7a41971";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem ST50 - 2070541473539004687";5192334982;"ThinkSystem ST50 -Lenovo -Server -V2 -Сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"платформа lenovo tch thinksystem de240s expansion enclosure rack 2u nohdd sff upto24 4x1m minisas h";"Lenovo СХД Россия";88682372;"Lenovo ThinkSystem DE240S - 5496689671151338878";5210268993;"Lenovo ThinkSystem DE240S -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"плюсы башенного корпуса lenovo thinksystem st50";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem ST50 - 2070541473539004687";5192968538;"Lenovo ThinkSystem ST50 -Tower -V2 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"покупка серверов";"Lenovo горячие Северо-Запад";87574928;"Горячие";5191696767;'---autotargeting;"автотаргетинг";-;-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"полноразмерный комплект для подключения pcie thinksystem sr650";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"thinksystem sr650 -lenovo -server -V2 -V3 -сервер -цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"порт xcc sr250 lenovo";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem SR250 - 8851782002052089839";5192968570;"Lenovo SR250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"порт xcc sr250 lenovo manual";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem SR250 - 8851782002052089839";5192968570;"Lenovo SR250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"порт xcc sr250 lenovo manual на русском";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem SR250 - 8851782002052089839";5192968570;"Lenovo SR250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"не определена";1;0;0,00;0,00;-;1,00;-;-;-;-
"поставка lenovo thinksystem sr650 v2 7z73cto1ww";"Сервера Lenovo Москва";87622199;"Lenovo SR650 V2";5192409060;"lenovo thinksystem sr650 V2 -Rack -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"потребление lenovo thinksystem sr650";"Сервера Lenovo Екатеринбург, Челябинск";87795663;"Lenovo SR650";5194664985;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Широкие запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"потребляемая мощность lenovo sr530";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192334999;"Lenovo SR530 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Широкие запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"проверка сервера lenovo";"Lenovo Холодные Москва";88058478;"Холодные";5198942142;"Сервер Lenovo -think -SD530 -SN550 -SR665 -sr650 -SR645 -SR250 -SD650 -ST550 -SR570 -SR860 -SR950 -SR850P -SR530 -SR655 -SN850 -SR550 -ST250 -SR670 -SR635 -ST50 -SR590 -SR630 -SR850";"фраза";"пословное";-;"не определена";1;0;0,00;0,00;-;1,00;-;-;-;-
"продажа компьютерной техники";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR250 - 8851782002052089839";5192946197;'---autotargeting;"автотаргетинг";-;-;"Широкие запросы";1;0;0,00;0,00;-;5,00;-;-;-;-
"продажа серверного оборудования в ковид";"Сервера Lenovo Москва";87622199;"Lenovo SR630 V2";5192409061;'---autotargeting;"автотаргетинг";-;-;"Широкие запросы";1;0;0,00;0,00;-;5,00;-;-;-;-
"процессор lenovo tch thinksystem sr550 sr590 sr650 intel xeon silver 4208 8c 85w 2.1ghz processor option kit w o fan второй процессор 4xg7a37935";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem SR550 - 4042967885481130338";5192968548;"Lenovo ThinkSystem SR550 -Rack -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"процессор lenovo tch thinksystem sr650 rack 2u xeon 4208 8c 2.1ghz 11mb 85w 1x32gb 2933mhz 2r rdimm nohdd sff upto 8 24 sr930 8i 2gb flash nogbe 2xpciex8 1x750w 1x2.8m p c xccenterprise";"Сервера Lenovo Поволжье";87672026;"Lenovo SR650";5192968573;"Lenovo ThinkSystem SR650 Rack -V2 -V3";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"процессор lenovo tch thinksystem sr650 rack 2u сертификат";"Сервера Lenovo Поволжье";87672026;"Lenovo SR650";5192968573;"Lenovo ThinkSystem SR650 Rack -V2 -V3";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"рабочая станция intel core i7 7700 ddr4 8гб 256гб ssd intel hd 630 4096м6 dvd rw черный 5810 0158 thinkstation p320 lenovo";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo 630 -yoga";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;5,00;-;-;-;-
"рабочая станция intel core i7 7700 ddr4 8гб 256гб ssd intel hd 630 4096м6 dvd rw черный 5810 0158 thinkstation p320 lenovo";"Сервера Lenovo Урал";87795544;"Lenovo SR630";5194663444;"lenovo 630 -yoga";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"рабочая станция lenovo thinkstation p330 gen2 tower i7 9700k 16gb 512gb ssd uhd 630 dvd usb kb m win 10 pro";"Сервера Lenovo ДВосток";87795990;"Lenovo SR630";5194670938;"lenovo 630 -yoga";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"рабочая станция lenovo ts p340 twr i7 10700 1 x 16gb ddr4 2933 udimm 1tb ssd m 2 pcie intel uhd 630 500w w10 p64 eng 1y ос eng ke";"Сервера Lenovo Красноярск, Новосибирск, Омск";87795203;"Lenovo SR630";5194661671;"lenovo 630 -yoga";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;5,00;-;-;-;-
"рабочая станция lenovo ts p340 twr гострабочая станция lenovo ts p340 twr i7 10700 1 x 16gb ddr4 2933 udimm 1tb ssd m 2 pcie intel uhd 630 500w w10 p64 eng 1y ос eng ke ujl dsgecrf";"Сервера Lenovo Красноярск, Новосибирск, Омск";87795203;"Lenovo SR630";5194661671;"lenovo 630 -yoga";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;5,00;-;-;-;-
"рабочая станция techno";"Сервера Lenovo Москва";87622199;"Lenovo SR630 V2";5192409061;'---autotargeting;"автотаргетинг";-;-;"Альтернативные запросы";1;0;0,00;0,00;-;5,00;-;-;-;-
"радиатор 1u lenovo al socket lga3647 for thinksystem sr530 sr570 sr630";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192441827;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"радиатор lenovo thinksystem sr650";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"радиосервер thinksystem sr650";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"thinksystem sr650 -lenovo -server -V2 -V3 -сервер -цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"райзер lenovo 7xh7a02685 для sr530 sr570 sr630";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"райзер lenovo thinksystem sr550 sr650 2.5";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"райзер lenovo thinksystem sr550 sr650 2.5 sata sas 8 bay backplane kit 7xh7a06254";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";11;0;0,00;0,00;-;1,00;-;-;-;-
"райзер карта thinksystem sr530 sr570 x8 pcie lp riser 2 kit";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192946182;"ThinkSystem SR530 -Lenovo -Server -Сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"райзер расширитель lenovo tch thinksystem sr530 sr570 sr630 x16 pcie lp riser 2 kit 7xh7a02685";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR570 - 7941690042478765188";5192946190;"Lenovo ThinkSystem SR570 -Rack -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"райзер расширитель lenovo tch thinksystem sr530 sr570 sr630 x8 x16 pcie lp lp riser 1 kit 7xh7a02682";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192946182;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"райзер расширитель lenovo tch thinksystem sr530 sr570 sr630 x8 x16 pcie lp lp riser 1 kit 7xh7a02682";"Сервера Lenovo СП-б";87670033;"Lenovo SR630";5192946203;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;-;-;-
"расценка на сервер видеонаблюдения ltv sr250 103 48 r6 irv ltv";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem SR250 - 8851782002052089839";5192968570;"Сервер SR250 -Lenovo -ThinkSystem -V2 -Леново";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"рельсы для lenovo sr850 server";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR850 - 7946530344873454756";5192335008;"Server SR850 -ThinkSystem -V2 -V3";"фраза";"пословное";-;"не определена";1;0;0,00;0,00;-;5,00;-;-;-;-
"репликация схд lenovo";"Lenovo СХД Москва";88644763;"Lenovo ThinkSystem СХД";5209732144;"СХД Lenovo -DE120S -DE240S -DE4000 -DE4000F -DE4000H -DE6000 -DE6000F -DE6000H -DE600S -DE6400F -DE6400H -DE6600F -DE6600H -DM120S -DM240S -DM3000H -DM5000 -DM5000F -DM5000H -DM5100F -DM7100F -DM7100H -Купить -Цена";"фраза";"пословное";-;"не определена";3;0;0,00;0,00;-;2,00;-;-;-;-
"рынок серверного оборудования в 2021 году";"Lenovo Горячие Москва";87571988;"Горячие";5191675769;'---autotargeting;"автотаргетинг";-;-;"Широкие запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"салазки для lenovo sr650 v2";"Сервера Lenovo ЦФО";87636764;"Lenovo SR650 V2";5192441846;"lenovo sr650 V2 -7x06 -thinksystem -купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"салазки для lenovo sr650 v2 00e7600";"Сервера Lenovo ЦФО";87636764;"Lenovo SR650 V2";5192441846;"lenovo sr650 V2 -7x06 -thinksystem -купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";3;0;0,00;0,00;-;1,00;-;-;-;-
"самсон sr850 купить";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR850 - 7946530344873454756";5192335008;"Купить SR850 -Lenovo -V2 -V3";"фраза";"пословное";-;"не определена";2;0;0,00;0,00;-;3,00;-;-;-;-
"сбербанк thinksystem sr650 v2 7z73cto1ww";"Сервера Lenovo Москва";87622199;"Lenovo SR650 V2";5192409060;"thinksystem sr650 V2 -lenovo -server -сервер -цена";"фраза";"пословное";-;"Альтернативные запросы";2;0;0,00;0,00;-;3,50;-;-;-;-
"сервер 1 lenovo sr650 5350 8i 2x1100w 4210r 10c ram 2x32gb ssd 2x240gb net 2x1gbe";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"сервер lenovo sr650 -thinksystem -V2 -V3 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"сервер 12 lenovo sr650 5350 8i";"Сервера Lenovo Красноярск, Новосибирск, Омск";87795203;"Lenovo SR650";5194661668;"сервер lenovo sr650 -thinksystem -V2 -V3 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"сервер 12 lenovo sr650 5350 8i";"Сервера Lenovo Урал";87795544;"Lenovo SR650";5194663441;"сервер lenovo sr650 -thinksystem -V2 -V3 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"сервер 12 lenovo sr650 5350 8i вес и параметры";"Сервера Lenovo Сибирь";87794735;"Lenovo SR650";5194659703;"сервер lenovo sr650 -thinksystem -V2 -V3 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"сервер 3 lenovo sr650 5350 8i 2x1100w 2x4210r 10c ram 8x32gb ssd 2x240gb sas 4x1.2tb net 10gbe";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"сервер lenovo sr650 -thinksystem -V2 -V3 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"сервер 3650 m5 lenovo";"Lenovo Горячие Москва";87571988;"Горячие";5191675769;"Сервер Леново Москва";"фраза";"семантическое";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"сервер 9 lenovo sr650 5350 8i 2x1100w 5218r 20c ram 4x64gb ssd 2x960gb sas 6x1.2tb net 10gbe";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"сервер lenovo sr650 -thinksystem -V2 -V3 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
